Type	INode   	Name                	Size(bytes)	Block	B-Size	Depth	Offset	Mode 	UID  	GID  	Path
dir	11012666	.                   	4096    	8    	4096 	0   	0   	16893	1000 	1000 	.	
file	11013728	output1.dat~        	45      	8    	4096 	1   	2   	33204	1000 	1000 	./output1.dat~	
file	11012884	Design+Document.odt 	30502   	64   	4096 	1   	2   	33204	1000 	1000 	./Design+Document.odt	
file	11013626	Untitled Document~  	0       	0    	4096 	1   	2   	33204	1000 	1000 	./Untitled Document~	
file	11015794	README~             	887     	8    	4096 	1   	2   	33204	1000 	1000 	./README~	
file	11012891	test4.c             	545     	8    	4096 	1   	2   	33204	1000 	1000 	./test4.c	
file	11012754	test.c~             	15839   	32   	4096 	1   	2   	33204	1000 	1000 	./test.c~	
file	11016829	README              	949     	8    	4096 	1   	2   	33204	1000 	1000 	./README	
file	11013649	arrays.c            	1410    	8    	4096 	1   	2   	33204	1000 	1000 	./arrays.c	
file	11012890	test3.c             	863     	8    	4096 	1   	2   	33204	1000 	1000 	./test3.c	
file	11013757	output2.dat~        	31      	8    	4096 	1   	2   	33204	1000 	1000 	./output2.dat~	
file	11012704	directories.dat     	365081  	720  	4096 	1   	2   	33204	1000 	1000 	./directories.dat	
file	11012888	Walk a directory_Recursively - Rosetta Code.pdf	1227972 	2400 	4096 	1   	2   	33204	1000 	1000 	./Walk a directory_Recursively - Rosetta Code.pdf	
dir	11012716	.git                	4096    	8    	4096 	1   	2   	16893	1000 	1000 	./.git	
file	11012854	description         	73      	8    	4096 	2   	7   	33204	1000 	1000 	./.git/description	
file	11014123	.COMMIT_EDITMSG.swp 	12288   	24   	4096 	2   	7   	33188	1000 	1000 	./.git/.COMMIT_EDITMSG.swp	
file	11012868	config              	202     	8    	4096 	2   	7   	33204	1000 	1000 	./.git/config	
file	11010867	index               	958     	8    	4096 	2   	7   	33204	1000 	1000 	./.git/index	
dir	11141149	logs                	4096    	8    	4096 	2   	7   	16893	1000 	1000 	./.git/logs	
file	11141153	HEAD                	3657    	8    	4096 	3   	12  	33204	1000 	1000 	./.git/logs/HEAD	
